Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.33      0.01     0.01      207     0.05     0.05  file_hash_2
 33.33      0.02     0.01       38     0.26     0.26  new_pattern_rule
 33.33      0.03     0.01        6     1.67     2.81  pattern_search
  0.00      0.03     0.00     2881     0.00     0.00  hash_find_slot
  0.00      0.03     0.00     2529     0.00     0.00  xmalloc
  0.00      0.03     0.00     1327     0.00     0.00  hash_find_item
  0.00      0.03     0.00     1015     0.00     0.00  directory_hash_cmp
  0.00      0.03     0.00      963     0.00     0.00  find_char_unquote
  0.00      0.03     0.00      881     0.00     0.00  file_hash_1
  0.00      0.03     0.00      870     0.00     0.00  variable_buffer_output
  0.00      0.03     0.00      865     0.00     0.00  directory_hash_1
  0.00      0.03     0.00      865     0.00     0.00  find_directory
  0.00      0.03     0.00      767     0.00     0.00  next_token
  0.00      0.03     0.00      742     0.00     0.00  lookup_file
  0.00      0.03     0.00      680     0.00     0.00  savestring
  0.00      0.03     0.00      673     0.00     0.00  hash_insert_at
  0.00      0.03     0.00      637     0.00     0.00  ar_name
  0.00      0.03     0.00      633     0.00     0.00  dirfile_hash_1
  0.00      0.03     0.00      608     0.00     0.00  xstrdup
  0.00      0.03     0.00      490     0.00     0.00  readline
  0.00      0.03     0.00      468     0.00     0.00  variable_hash_1
  0.00      0.03     0.00      451     0.00     0.00  dirfile_hash_cmp
  0.00      0.03     0.00      414     0.00     0.00  dir_contents_file_exists_p
  0.00      0.03     0.00      414     0.00     0.01  dir_file_exists_p
  0.00      0.03     0.00      403     0.00     0.00  collapse_continuations
  0.00      0.03     0.00      402     0.00     0.01  file_impossible_p
  0.00      0.03     0.00      372     0.00     0.00  vpath_search
  0.00      0.03     0.00      358     0.00     0.00  variable_expand_string
  0.00      0.03     0.00      355     0.00     0.00  remove_comments
  0.00      0.03     0.00      353     0.00     0.00  file_hash_cmp
  0.00      0.03     0.00      348     0.00     0.01  file_exists_p
  0.00      0.03     0.00      322     0.00     0.00  define_variable_in_set
  0.00      0.03     0.00      284     0.00     0.00  initialize_variable_output
  0.00      0.03     0.00      254     0.00     0.00  dirfile_hash_2
  0.00      0.03     0.00      236     0.00     0.00  variable_expand
  0.00      0.03     0.00      232     0.00     0.00  allocated_variable_expand_for_file
  0.00      0.03     0.00      232     0.00     0.00  variable_expand_for_file
  0.00      0.03     0.00      219     0.00     0.00  try_variable_definition
  0.00      0.03     0.00      179     0.00     0.00  variable_hash_cmp
  0.00      0.03     0.00      177     0.00     0.00  do_variable_definition
  0.00      0.03     0.00      170     0.00     0.00  get_next_mword
  0.00      0.03     0.00      162     0.00     0.00  directory_hash_2
  0.00      0.03     0.00      139     0.00     0.00  enter_file
  0.00      0.03     0.00      120     0.00     0.00  lindex
  0.00      0.03     0.00      111     0.00     0.00  dir_setup_glob
  0.00      0.03     0.00      111     0.00     0.00  multi_glob
  0.00      0.03     0.00      111     0.00     0.00  parse_file_seq
  0.00      0.03     0.00       76     0.00     0.00  hash_insert
  0.00      0.03     0.00       72     0.00     0.00  variable_hash_2
  0.00      0.03     0.00       67     0.00     0.00  lookup_variable
  0.00      0.03     0.00       66     0.00     0.00  find_percent
  0.00      0.03     0.00       62     0.00     0.00  handle_function
  0.00      0.03     0.00       62     0.00     0.00  lookup_function
  0.00      0.03     0.00       62     0.00     0.01  selective_vpath_search
  0.00      0.03     0.00       59     0.00     0.00  reference_variable
  0.00      0.03     0.00       50     0.00     0.00  concat
  0.00      0.03     0.00       48     0.00     0.01  file_impossible
  0.00      0.03     0.00       48     0.00     0.00  record_files
  0.00      0.03     0.00       43     0.00     0.00  recursively_expand_for_file
  0.00      0.03     0.00       30     0.00     0.00  function_table_entry_hash_1
  0.00      0.03     0.00       29     0.00     0.26  convert_suffix_rule
  0.00      0.03     0.00       29     0.00     0.26  create_pattern_rule
  0.00      0.03     0.00       25     0.00     0.00  xrealloc
  0.00      0.03     0.00       15     0.00     0.00  function_table_entry_hash_cmp
  0.00      0.03     0.00       12     0.00     0.00  hash_init
  0.00      0.03     0.00       12     0.00     0.00  round_up_2
  0.00      0.03     0.00        9     0.00     0.00  copy_dep_chain
  0.00      0.03     0.00        9     0.00     0.00  function_table_entry_hash_2
  0.00      0.03     0.00        9     0.00     0.26  install_pattern_rule
  0.00      0.03     0.00        8     0.00     0.00  notice_finished_file
  0.00      0.03     0.00        8     0.00     0.00  update_file
  0.00      0.03     0.00        8     0.00     2.14  update_file_1
